Id,SourceId,School,Mascot,Abbreviation,DisplayName,ShortDisplayName,PrimaryColor,SecondaryColor,CurrentVenueId,CurrentVenue,CurrentCity,CurrentState,ConferenceId,Conference
96,45,George Washington,Revolutionaries,GW,George Washington Revolutionaries,G Washington,002843,e8d2a1,136.0,Charles E. Smith Center,Washington,DC,1.0,A-10
251,2603,Saint Joseph's,Hawks,JOES,Saint Joseph's Hawks,Saint Joseph's,C2071B,101010,93.0,Michael J. Hagan '85 Arena,Philadelphia,PA,1.0,A-10
240,227,Rhode Island,Rams,URI,Rhode Island Rams,Rhode Island,091f3f,5ab3e8,135.0,Thomas M. Ryan Center,Kingston,RI,1.0,A-10
277,179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St Bonaventure,70261D,,73.0,Reilly Center,Saint Bonaventure,NY,1.0,A-10
64,2168,Dayton,Flyers,DAY,Dayton Flyers,Dayton,004B8D,ffffff,76.0,UD Arena,Dayton,OH,1.0,A-10
242,257,Richmond,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e,224.0,Robins Center,Richmond,VA,1.0,A-10
137,2325,La Salle,Explorers,LAS,La Salle Explorers,La Salle,003356,ffce00,94.0,John Glaser Arena,Philadelphia,PA,1.0,A-10
252,139,Saint Louis,Billikens,SLU,Saint Louis Billikens,Saint Louis,00539C,ebebeb,321.0,Chaifetz Arena,St. Louis,MO,1.0,A-10
91,2230,Fordham,Rams,FOR,Fordham Rams,Fordham,830032,909090,340.0,Rose Hill Gym,Bronx,NY,1.0,A-10
333,2670,VCU,Rams,VCU,VCU Rams,VCU,ffaf00,000000,92.0,Siegel Center,Richmond,VA,1.0,A-10
63,2166,Davidson,Wildcats,DAV,Davidson Wildcats,Davidson,000000,e51837,59.0,John M. Belk Arena,Davidson,NC,1.0,A-10
95,2244,George Mason,Patriots,GMU,George Mason Patriots,George Mason,016600,ecb010,77.0,EagleBank Arena,Fairfax,VA,1.0,A-10
151,2350,Loyola Chicago,Ramblers,LUC,Loyola Chicago Ramblers,Loyola Chicago,9d1244,,160.0,Gentile Arena,Chicago,IL,1.0,A-10
200,153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,7.0,Dean E. Smith Center,Chapel Hill,NC,2.0,ACC
72,150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,6.0,Cameron Indoor Stadium,Durham,NC,2.0,ACC
185,152,NC State,Wolfpack,NCSU,NC State Wolfpack,NC State,cc0000,ffffff,74.0,Lenovo Center,Raleigh,NC,2.0,ACC
339,258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,232d4b,f84c1e,227.0,John Paul Jones Arena,Charlottesville,VA,2.0,ACC
342,154,Wake Forest,Demon Deacons,WAKE,Wake Forest Demon Deacons,Wake Forest,000000,ceb888,153.0,LJVM Coliseum,Winston-Salem,NC,2.0,ACC
52,228,Clemson,Tigers,CLEM,Clemson Tigers,Clemson,f56600,522d80,91.0,Littlejohn Coliseum,Clemson,SC,2.0,ACC
101,59,Georgia Tech,Yellow Jackets,GT,Georgia Tech Yellow Jackets,Georgia Tech,003057,b3a369,228.0,McCamish Pavilion,Atlanta,GA,2.0,ACC
90,52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida St,782f40,ceb888,81.0,Tucker Center,Tallahassee,FL,2.0,ACC
168,2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,005030,f47321,80.0,Watsco Center,Coral Gables,FL,2.0,ACC
340,259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,630031,cf4520,151.0,Cassell Coliseum,Blacksburg,VA,2.0,ACC
26,103,Boston College,Eagles,BC,Boston College Eagles,Boston College,8c2232,dbcca6,152.0,Conte Forum,Chestnut Hill,MA,2.0,ACC
286,183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,88.0,JMA Wireless Dome,Syracuse,NY,2.0,ACC
213,87,Notre Dame,Fighting Irish,ND,Notre Dame Fighting Irish,Notre Dame,0c2340,c99700,225.0,Purcell Pavilion,South Bend,IN,2.0,ACC
229,221,Pittsburgh,Panthers,PITT,Pittsburgh Panthers,Pitt,003263,231f20,79.0,Petersen Events Center,Pittsburgh,PA,2.0,ACC
150,97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,90.0,KFC Yum! Center,Louisville,KY,2.0,ACC
248,2567,SMU,Mustangs,SMU,SMU Mustangs,SMU,354ca1,cc0035,162.0,Moody Coliseum,Dallas,TX,2.0,ACC
281,24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,25.0,Maples Pavilion,Stanford,CA,2.0,ACC
40,25,California,Golden Bears,CAL,California Golden Bears,California,031522,ffc423,195.0,Haas Pavilion,Berkeley,CA,2.0,ACC
283,56,Stetson,Hatters,STET,Stetson Hatters,Stetson,0a5640,56854e,83.0,Edmunds Center,DeLand,FL,3.0,ASUN
127,294,Jacksonville,Dolphins,JAX,Jacksonville Dolphins,Jacksonville,00523e,,58.0,Swisher Gymnasium,Jacksonville,FL,3.0,ASUN
143,288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,305.0,Allen Arena,Nashville,TN,3.0,ASUN
